301	574	2535	4920
57	574	381	4920
0	574	1	4920
146	574	1228	4920
270	574	2238	4920
318	574	2633	4920
66	574	476	4920
302	574	2511	4920
166	574	1195	4920
0	574	0	4920
422	574	3564	4920
166	574	1322	4920
255	574	2049	4920
38	574	342	4920
2	574	13	4920
0	574	2	4920
90	574	742	4920
316	574	2931	4920
309	574	2639	4920
99	574	882	4920
30	574	229	4920
13	574	114	4920
218	574	1838	4920
424	574	3419	4920
287	574	2739	4920
95	574	765	4920
11	574	23	4920
24	574	110	4920
101	574	705	4920
351	574	2989	4920
106	574	929	4920
184	574	1569	4920
105	574	916	4920
222	574	1877	4920
0	574	10	4920
4	574	35	4920
307	574	2498	4920
1	574	4	4920
6	574	20	4920
97	574	818	4920
111	574	871	4920
116	574	995	4920
319	574	2644	4920
15	574	39	4920
5	574	12	4920
121	574	632	4920
54	574	229	4920
85	574	429	4920
19	574	146	4920
0	574	4	4920
152	574	1216	4920
56	574	407	4920
157	574	1248	4920
95	574	605	4920
252	574	2158	4920
166	574	1300	4920
65	574	460	4920
297	574	2354	4920
209	574	1647	4920
50	574	380	4920
88	574	667	4920
390	574	3295	4920
46	574	360	4920
35	574	188	4920
24	574	168	4920
78	574	633	4920
85	574	609	4920
129	574	936	4920
1	574	11	4920
30	574	121	4920
168	574	1465	4920
192	574	1562	4920
293	574	2328	4920
162	574	1362	4920
386	574	2976	4920
227	574	1706	4920
255	574	2077	4920
312	574	2458	4920
298	574	2579	4920
269	574	1927	4920
219	574	1722	4920
91	574	593	4920
198	574	1745	4920
124	574	784	4920
5	574	51	4920
312	574	2440	4920
138	574	979	4920
1	574	11	4920
1	574	22	4920
115	574	1190	4920
412	574	3493	4920
352	574	2993	4920
44	574	241	4920
401	574	3408	4920
243	574	2389	4920
369	574	3082	4920
132	574	1118	4920
128	574	761	4920
289	574	2567	4920
56	574	390	4920
295	574	2366	4920
393	574	3041	4920
207	574	1693	4920
332	574	2728	4920
84	574	634	4920
0	574	2	4920
227	574	1693	4920
316	574	2784	4920
240	574	2331	4920
217	574	1929	4920
294	574	2632	4920
43	574	175	4920
52	574	289	4920
80	574	528	4920
32	574	186	4920
153	574	1151	4920
304	574	2791	4920
133	574	967	4920
150	574	1325	4920
168	574	1580	4920
122	574	932	4920
155	574	1239	4920
249	574	1941	4920
9	574	35	4920
134	574	1157	4920
304	574	2844	4920
23	574	121	4920
98	574	675	4920
87	574	603	4920
69	574	559	4920
49	574	452	4920
301	574	2389	4920
268	574	2087	4920
333	574	2612	4920
250	574	1999	4920
218	574	1913	4920
60	574	395	4920
374	574	3078	4920
212	574	1629	4920
341	574	2847	4920
151	574	1136	4920
404	574	3469	4920
0	574	0	4920
100	574	624	4920
218	574	1669	4920
96	574	840	4920
166	574	1377	4920
13	574	32	4920
206	574	1384	4920
221	574	1660	4920
282	574	2333	4920
0	574	3	4920
126	574	883	4920
16	574	92	4920
11	574	53	4920
296	574	2452	4920
116	574	798	4920
101	574	840	4920
162	574	1281	4920
156	574	1177	4920
26	574	185	4920
26	574	188	4920
64	574	608	4920
203	574	1703	4920
21	574	91	4920
19	574	68	4920
42	574	268	4920
